Posted Date,Reference Number,Payee,Address,Amount
12/11/2023,55310203344083708061734,"AMZN MKTP US*R34Q52373 SEATTLE WA","SEATTLE       WA ",-21.19
12/11/2023,55310203344083358805885,"AMZN MKTP US*KZ3VD46U3 SEATTLE WA","SEATTLE       WA ",-10.59
12/11/2023,55310203344083374748556,"AMZN MKTP US*AI5C237L3 SEATTLE WA","SEATTLE       WA ",-21.19
12/11/2023,55310203344083008515538,"AMZN MKTP US SEATTLE WA","SEATTLE       WA ",23.39
12/11/2023,55310203344083007089949,"AMZN MKTP US SEATTLE WA","SEATTLE       WA ",31.79
12/11/2023,55310203344083004429148,"AMZN MKTP US SEATTLE WA","SEATTLE       WA ",23.39
12/11/2023,55310203344083003269867,"AMZN MKTP US SEATTLE WA","SEATTLE       WA ",33.91
12/11/2023,55310203344083002233716,"AMAZON.COM SEATTLE WA","SEATTLE       WA ",29.48
12/11/2023,05410193344091016438954,"TARGET 00034157 ANN ARBOR MI","ANN ARBOR     MI ",-4.79
12/08/2023,34206005710030036827580,"Online payment from CHK 7040","",850.00
12/07/2023,75418233340188816038068,"DTE ENERGY DETROIT MI","DETROIT       MI ",-33.75
12/04/2023,55432863338204593632080,"MEIJER # 048 BAY CITY MI","BAY CITY      MI ",-9.53
12/04/2023,55316583337744000608633,"BP#2643724ROSCO MINQPS ROSCOMMON MI","ROSCOMMON     MI ",-2.79
12/04/2023,55432863336204043446620,"MEIJER # 048 BAY CITY MI","BAY CITY      MI ",-2.64
12/02/2023,05410193335091016778665,"TARGET 00034157 ANN ARBOR MI","ANN ARBOR     MI ",-8.38
12/02/2023,55310203335083315777970,"AMZN MKTP US*NI2OJ4ZI3 SEATTLE WA","SEATTLE       WA ",-46.78
11/30/2023,55310203333083749824358,"AMAZON.COM*1T2NZ54D3 SEATTLE WA","SEATTLE       WA ",-29.48
11/29/2023,05314613333500204686122,"NATALIE E HENKE ANN ARBOR MI","ANN ARBOR     MI ",-35.00
11/28/2023,55310203331083352952209,"AMZN MKTP US*DX3S10KD3 SEATTLE WA","SEATTLE       WA ",-13.55
11/28/2023,55436873332173320396684,"ATL AIRP MIDTOWN MAG D ATLANTA GA","ATLANTA       GA ",-4.74
11/27/2023,52704873331091198000191,"LEVI'S STORE 603 ATLANTA GA","ATLANTA       GA ",-167.36
11/27/2023,82305093331000003245201,"KEYMELOCKSMITHS.COM JERSEY CITY NJ","JERSEY CITY   NJ ",15.53
11/27/2023,55310203330083723837338,"AMZN MKTP US*327CH4QD3 SEATTLE WA","SEATTLE       WA ",-8.44
11/27/2023,55310203330083758357111,"AMZN MKTP US*PI2WR3LT3 SEATTLE WA","SEATTLE       WA ",-31.79
11/27/2023,55310203330083335567851,"AMZN MKTP US*A686548M3 SEATTLE WA","SEATTLE       WA ",-78.91
11/27/2023,55310203330083706525496,"AMZN MKTP US*IH5OQ1Q73 SEATTLE WA","SEATTLE       WA ",-33.91
11/27/2023,52653843330837000126524,"TOTAL WINE AND MORE ATLANTA GA","ATLANTA       GA ",-17.81
11/27/2023,02305373330000466303070,"LENOX SQUARE, GA-ANF ATLANTA GA","ATLANTA       GA ",-65.34
11/27/2023,05123483330000374015444,"TUMI STORES INC ATLANTA GA","ATLANTA       GA ",-81.38
11/27/2023,55432863330201882153487,"Amazon Prime*EJ5VK4IN3 Amzn.com/billWA","Amzn.com/bill WA ",-7.49
11/22/2023,22303793325001519570331,"7-ELEVEN 33597 BELLEVILLE MI","BELLEVILLE    MI ",-2.43
11/21/2023,32506005710026588302726,"Online payment from CHK 7040","",822.00
11/20/2023,05410193323091007306025,"TARGET 00006346 ANN ARBOR MI","ANN ARBOR     MI ",-44.72
11/20/2023,05410193322091016314045,"TARGET 00032078 CHICAGO IL","CHICAGO       IL ",-3.74
11/18/2023,02305373322000662587658,"NORDSTROM DIRECT #0808 CEDAR RAPIDS IA","CEDAR RAPIDS  IA ",-116.59
11/15/2023,55310203318083365024266,"AMZN MKTP US*TC8WI18F1 SEATTLE WA","SEATTLE       WA ",-20.99
11/14/2023,55310203317083007073508,"AMZN MKTP US SEATTLE WA","SEATTLE       WA ",264.95
