Posted Date,Reference Number,Payee,Address,Amount
02/12/2024,05410194042091246105822,"TARGET 00034157 ANN ARBOR MI","ANN ARBOR     MI ",-5.71
02/10/2024,04183204320021200050134,"PAYMENT - THANK YOU","",400.00
02/05/2024,25247804035000295200855,"9651 GREAT CLIPS AT ST ANN ARBOR MI","ANN ARBOR     MI ",-26.00
02/05/2024,55432864035203885997445,"GEICO *AUTO 800-841-3000 DC","800-841-3000  DC ",-403.69
02/03/2024,03483204320020500050124,"PAYMENT - THANK YOU","",400.00
01/30/2024,55446414029083189538343,"IKEA 450632156 BALTIMORE MD","BALTIMORE     MD ",-395.27
01/30/2024,75418234029192526523878,"DTE ENERGY DETROIT MI","DETROIT       MI ",-35.26
01/27/2024,02706005720005389189358,"Online payment from CHK 7040","",400.00
01/25/2024,55429504024743438691425,"YOUNG LIVING 8003713515 UT","8003713515    UT ",-296.16
01/24/2024,55310204024083715590142,"AMZN MKTP US*R09WA1QN0 SEATTLE WA","SEATTLE       WA ",-31.79
01/22/2024,75125964022000000183122,"ONLYFANS.COM*A 8886880458 FL","8886880458    FL ",-5.00
01/20/2024,75184124019900017952084,"LAUNCHING DEALS 877-9585090 FL","877-9585090   FL ",-21.07
01/18/2024,05314614018500192086079,"NATALIE E HENKE ANN ARBOR MI","ANN ARBOR     MI ",-41.00
01/17/2024,55310204016083000954102,"AMZN MKTP US SEATTLE WA","SEATTLE       WA ",63.58
01/17/2024,55310204016083009859948,"AMZN MKTP US SEATTLE WA","SEATTLE       WA ",15.89
