Posted Date,Reference Number,Payee,Address,Amount
12/12/2024,55432864346208586945373,"AMAZON MKTPL*ZR5OZ9761 Amzn.com/billWA","Amzn.com/bill WA ",-34.17
12/11/2024,55432864345208128464322,"AMAZON MKTPL*ZR02T3541 Amzn.com/billWA","Amzn.com/bill WA ",-55.11
12/10/2024,82305094345000006685306,"AMAZON MARK* ZX2LV5172 SEATTLE WA","SEATTLE       WA ",-143.31
12/09/2024,55432864344207682561086,"AMAZON MKTPL*ZX2C42ZW2 Amzn.com/billWA","Amzn.com/bill WA ",-60.13
12/09/2024,82305094342000056565591,"AMAZON MARK* ZR5AW5CL1 SEATTLE WA","SEATTLE       WA ",-132.29
12/07/2024,34206005710025615457239,"Online payment from CHK 7040","",175.97
12/03/2024,15270214338000065312036,"aliexpress San Mateo CA","San Mateo     CA ",-78.77
12/03/2024,82305094337000063697160,"AMAZON MARK* ZL7L90MC2 SEATTLE WA","SEATTLE       WA ",-35.27
12/03/2024,82305094337000063686452,"AMAZON RETA* ZL7L75MU2 SEATTLE WA","SEATTLE       WA ",-5.96
12/02/2024,82305094336000034724193,"AMAZON MARK* ZL0ES54R2 SEATTLE WA","SEATTLE       WA ",-27.17
12/02/2024,82305094336000034719672,"AMAZON RETA* ZL6KC0452 SEATTLE WA","SEATTLE       WA ",-28.80
11/25/2024,33006005710040570210188,"Online payment from CHK 7040","",62.18
11/23/2024,15270214328000361160057,"aliexpress San Mateo CA","San Mateo     CA ",-16.29
11/22/2024,82305094326000037195658,"AMAZON MARK* VQ2VQ2QK3 SEATTLE WA","SEATTLE       WA ",-57.12
