Date,Description,Amount,Card
12/20/2024,MOBILE PAYMENT - THANK YOU,-25.0,amex
12/14/2024,AplPay STARBUCKS    800-782-7282        WA,25.0,amex
10/21/2024,MOBILE PAYMENT - THANK YOU,-190.81,amex
10/19/2024,AplPay COLUMBIA BRANPORTLAND            OR,265.81,amex
10/04/2024,AplPay STARBUCKS    800-782-7282        WA,25.0,amex
09/30/2024,MOBILE PAYMENT - THANK YOU,-339.63,amex
09/28/2024,AMEX DELTA STAYS CREDIT,-100.0,amex
09/28/2024,HOTEL*Delta         SEATTLE             WA,314.64,amex
09/28/2024,UNITED PACIFIC #5734FREMONT             CA,24.99,amex
09/18/2024,MOBILE PAYMENT - THANK YOU,-255.01,amex
09/11/2024,AplPay WWW.CORVISIONFREMONT             CA,140.0,amex
09/10/2024,FD *CA DMV VFC *SVC SACRAMENTO          CA,0.44,amex
09/10/2024,FD *CA DMV VFC 0000 SACRAMENTO          CA,22.0,amex
09/09/2024,MOBILE PAYMENT - THANK YOU,-2837.65,amex
09/09/2024,TST* THE MODEL BAKERYOUNTVILLE          CA,40.82,amex
09/08/2024,SILVERADO RESORT    NAPA                CA,51.75,amex
09/08/2024,TST* PRESS 00044411 ST. HELENA          CA,941.37,amex
09/07/2024,CHIMNEY ROCK WINERY NAPA                CA,521.98,amex
09/07/2024,FSP*PARADIGM WINERY OAKVILLE            CA,446.39,amex
09/07/2024,RH YOUNTVILLE RESTAUYOUNTVILLE          CA,265.8,amex
09/07/2024,SCHRAMSBERG - VISITOCALISTOGA           CA,268.5,amex
09/07/2024,TST* BOUCHON BAKERY YOUNTVILLE          CA,43.99,amex
09/07/2024,TST* FARMSTEAD LLC 0ST. HELENA          CA,152.0,amex
09/06/2024,AplPay OLIVIER SAINTSAINT HELENA        CA,125.8,amex
09/06/2024,MOBILE PAYMENT - THANK YOU,-1234.68,amex
09/05/2024,AMAZON MARKEPLACE NA PA,21.82,amex
09/05/2024,AplPay OLIVE GARDEN FREMONT             CA,50.0,amex
09/04/2024,AplPay ARTLY COFFEE Fremont             CA,3.75,amex
09/04/2024,AplPay IKEA EAST PALPALO ALTO           CA,166.99,amex
09/04/2024,AplPay UMETEA-CA-PALPalo Alto           CA,6.3,amex
09/04/2024,BT*BREVVIE          HUNTINGTON BEACH    CA,-9.99,amex
09/04/2024,FD *CA DMV 644 *SVC FREMONT             CA,17.22,amex
09/04/2024,FD *CA DMV 644 0000 FREMONT             CA,820.0,amex
09/04/2024,MOBILE PAYMENT - THANK YOU,-1166.2,amex
09/03/2024,BT*BREVVIE          HUNTINGTON BEACH    CA,9.99,amex
09/02/2024,AMAZON MARKEPLACE NA PA,18.73,amex
09/02/2024,TARGET        026153FREMONT             CA,108.59,amex
09/02/2024,YAKINIQ SAN JOSE 000SAN JOSE            CA,86.6,amex
09/01/2024,AplPay PY *KUNG FU TPALO ALTO           CA,6.5,amex
09/01/2024,AplPay UMETEA-CA-PALPalo Alto           CA,6.6,amex
09/01/2024,IKEA EAST PALO ALTO PALO ALTO           CA,646.07,amex
09/01/2024,RAMEN KOWA 0000     PALO ALTO           CA,48.69,amex
08/31/2024,AplPay T-MOBILE WEB BELLEVUE            WA,52.0,amex
08/31/2024,AplPay TRADER JOE S FREMONT             CA,42.4,amex
08/31/2024,HANSANG TOFU 0000   MILPITAS            CA,126.45,amex
08/31/2024,TARGET              FREMONT             CA,14.85,amex
08/31/2024,THE HOME DEPOT      FREMONT             CA,-10.0,amex
08/31/2024,THE HOME DEPOT      FREMONT             CA,6.54,amex
08/31/2024,THE HOME DEPOT      FREMONT             CA,10.0,amex
08/30/2024,AplPay MJ SUSHI     FREMONT             CA,87.61,amex
08/30/2024,MOBILE PAYMENT - THANK YOU,-1183.25,amex
08/30/2024,THE HOME DEPOT      FREMONT             CA,10.0,amex
08/30/2024,UNITED PACIFIC #5734FREMONT             CA,24.99,amex
08/29/2024,USCUSTOMS TRUSTEDTRAINDIANAPOLIS        IN,100.0,amex
08/28/2024,AplPay IKEA.COM     BALTIMORE           MD,304.61,amex
08/28/2024,AplPay IN-N-OUT LATHLATHROP             CA,9.57,amex
08/28/2024,AplPay TST* LAX - T2LOS ANGELES         CA,14.21,amex
08/28/2024,PHO LAN NOODLES HOUSFREMONT             CA,49.48,amex
08/28/2024,TOPGOLF MONTEBELO 10MONTEBELLO          CA,80.0,amex
08/27/2024,AMAZON MARKEPLACE NA PA,33.02,amex
08/27/2024,AMAZON MARKEPLACE NA PA,396.88,amex
08/27/2024,GOGOBOP             LOS ANGELES         CA,14.77,amex
08/27/2024,MOD PIZZA MONTEREY PMONTEREY PARK       CA,13.97,amex
08/26/2024,1036 BROXTON AVE    LOS ANGELES         CA,5.0,amex
08/26/2024,AplPay CHIPOTLE 1084LOS ANGELES         CA,11.06,amex
08/26/2024,GOGOBOP             LOS ANGELES         CA,14.77,amex
08/26/2024,MOBILE PAYMENT - THANK YOU,-338.35,amex
08/25/2024,AplPay CHIPOTLE 1084LOS ANGELES         CA,13.3,amex
08/25/2024,AplPay GEICO AUTO   (800)841-3000       DC,135.59,amex
08/25/2024,AplPay MOKAMBO 36190SEVILLA             ES,23.1,amex
08/25/2024,AplPay VIVA*GRUPO MAFARO                PR,13.42,amex
08/25/2024,AplPay VIVA*GRUPO MAFARO                PR,13.42,amex
08/25/2024,MOBILE PAYMENT - THANK YOU,-185.97,amex
08/25/2024,THE BOILING CRAB 000LOS ANGELES         CA,195.77,amex
08/24/2024,AplPay MITO POSTIGO SEVILLA             ES,3.91,amex
08/24/2024,AplPay TARGET       FREMONT             CA,35.91,amex
08/24/2024,AplPay TST* BLUEYS KSANTA MONICA        CA,27.25,amex
08/24/2024,AplPay TST* ILLY CAFSAN FRANCISCO       CA,7.95,amex
08/24/2024,CITY OF SANTA MONICASANTA MONICA        CA,2.0,amex
08/24/2024,IN-N-OUT WESTWOOD   LOS ANGELES         CA,15.93,amex
08/24/2024,SILVERLAKE RAMEN 000SANTA MONICA        CA,68.76,amex
08/24/2024,TST* VENICE ALE HOUSVENICE              CA,25.9,amex
08/23/2024,AplPay CHIPOTLE 1585LOS ANGELES         CA,14.02,amex
08/23/2024,AplPay SAN JACINTO 0SEVILLA             ES,50.53,amex
08/23/2024,BUN MEE 650000010986SAN FRANCISCO       CA,16.44,amex
08/23/2024,COFFEE BEAN         COMMERCE            CA,5.25,amex
08/23/2024,SEOUL BBQ 9658989001DIAMOND BAR         CA,91.78,amex
08/13/2024,MOBILE PAYMENT - THANK YOU,-25.0,amex
08/09/2024,AplPay STARBUCKS    800-782-7282        WA,25.0,amex
07/11/2024,MOBILE PAYMENT - THANK YOU,-25.0,amex
07/06/2024,AplPay STARBUCKS    800-782-7282        WA,25.0,amex
06/23/2024,MOBILE PAYMENT - THANK YOU,-129.06,amex
06/20/2024,AT&T UVERSE PAYMENT 8002882020          TX,55.22,amex
